feature,R²,β (slope),p-value,Spearman ρ,Spearman p,MK trend,% change,first_val,last_val,abs_pct_change,Cohen's d
genitive_plural_athematic,0.0854781037866086,-0.2822524781772514,0.2109839393792761,-0.3203007518796992,0.168577043064626,decreasing,-30.47034224102616,17.69484083424808,12.30316227304784,30.47034224102616,-0.526210813262748
dual_instrumental,0.0087134364244463,-0.0098167560923579,0.6954780086532115,-0.1626507868645656,0.4932529176546294,decreasing,28.231671376873095,0.1003606711619884,0.1286941660360652,28.231671376873095,-0.4987632766107061
past_participle_ta,0.1881116731379944,-0.3439337057346915,0.0560638535155207,-0.4676691729323308,0.0375885102041488,decreasing,27.29662062247064,17.85792692488631,22.732537488610564,27.29662062247064,-0.8978840332659697
long_syllables,0.1627602263574721,12.401552447114732,0.0777479113945751,0.5308270676691729,0.0160354443767761,increasing,27.07264526734986,1073.2507448643562,1363.8081118506734,27.07264526734986,2.1738443699970755
particle_hi,0.0010824939376635,0.0078871838693256,0.890476413115095,0.0,1.0,decreasing,-25.683558666511964,3.0547279284930218,2.270165088876191,25.683558666511964,0.21939381481443404
perfect_endings,0.0174579167802232,0.936953240399492,0.5786942847821477,0.0887218045112781,0.7099206278927328,increasing,23.83209818693829,150.26501489728713,186.07632078822604,23.83209818693829,0.41509201341562735
infinitive_tum,0.035210021960333,0.067679277134443,0.4282393249456805,0.1159639869312181,0.6263561061625942,increasing,22.0502472181931,0.7338874078720402,0.8957113956110142,22.0502472181931,0.7825295094455982
gerund_ya,0.0165886309229066,-0.1846228752738791,0.588389271619514,-0.0210526315789473,0.929799402445708,decreasing,19.048155047184377,36.1235690763682,43.00444252261156,19.048155047184377,-0.22692044199136932
benedictive,0.1328247455368559,-0.0100175899472848,0.1141460926392192,-0.4075874538941155,0.0744546182476632,decreasing,-17.931730318801243,0.0188176258428728,0.0154432999243278,17.931730318801243,-1.3053057010027505
locative_plural,0.0120657020710763,0.0308260499599823,0.6447942147960986,0.2270676691729323,0.3356744310134179,increasing,-16.240518687626825,5.783283675709582,4.844048409597495,16.240518687626825,0.7378531485273028
subjunctive_ama,0.0420225195010963,0.0444574256370984,0.3859463052982912,0.2210526315789473,0.3489737543021465,increasing,15.831590405439467,3.079818096283519,3.567402282519729,15.831590405439467,0.5655488022396699
particle_ha,0.081751491816487,0.2304373571470063,0.221683960816679,0.5067669172932331,0.0225881723805918,increasing,15.55212371112794,0.7840677434530343,0.9060069288938994,15.55212371112794,0.825157242300796
primary_suffixes,0.0064005555695506,-0.4101348213653601,0.7374087721681581,-0.1218045112781954,0.608956622164901,decreasing,-14.33705480937972,25.347342010349696,21.713279693604928,14.33705480937972,-0.6401227237862963
dual_nominative,0.0017405640772066,-0.0226881588485652,0.8613629025303116,-0.2345864661654134,0.3194764651496698,decreasing,-13.30816582971957,16.032617218127648,13.898969931895047,13.30816582971957,0.2457760977166334
monophthongs_o,0.1799571429288042,-1.5470519762937311,0.0623016858063203,-0.3909774436090225,0.0882801021066139,decreasing,-12.961451809049636,135.9887094244943,118.36259838668992,12.961451809049636,-1.1655390463308815
short_syllables,0.0007145322562307,0.8160904987967266,0.910930011250814,0.1864661654135338,0.4311949104342509,increasing,11.439013786286258,1285.927552140505,1433.0249821115108,11.439013786286258,0.48142979037019124
action_nouns_ti,2.043465844205654e-05,0.0240151024600222,0.9849093633002785,-0.0586466165413533,0.8059928433862233,decreasing,6.065660439552085,18.34091265485338,19.453410138011623,6.065660439552085,-0.1873890535962359
secondary_suffixes,0.0208279986256209,-0.2463898969856792,0.5438187610709904,-0.075187969924812,0.7527267095067718,decreasing,4.398913391532689,48.96346244315509,51.117322749525115,4.398913391532689,-0.19372671861612295
monophthongs_e,0.0001727609216009,-0.0730697578832921,0.956139836873175,-0.031578947368421,0.8948543863933638,increasing,-4.096582966098168,152.36631644974125,146.12450388398992,4.096582966098168,-0.04692687047084314
injunctive_augmentless,0.000422980543244,0.1103690275550105,0.9314167549353766,-0.0436090225563909,0.8551479470173743,increasing,1.2797817826158355,46.03418535361455,46.62332247154572,1.2797817826158355,-0.25361512868238134
complex_clusters,0.0073494192793474,-0.0012906898814933,0.7193205531507563,0.0653110069766984,0.784419186800316,increasing,0.0,0.0,0.0,0.0,0.6324555320336759
pluti_vowels,0.003561535417491,-3.756893900307045e-05,0.802642895289257,-0.0596786010014569,0.802642895289257,decreasing,0.0,0.0,0.0,0.0,0.0
